issue_id,title,contents,authorLogin,authorAssociation,createdAt,closedAt,closed,comments_count,milestone,participants_count,Label_category-api,Label_category-docs,Label_category-release,Label_category-tests,Label_component-assert,Label_component-cli,Label_component-core,Label_component-diff,Label_component-dump,Label_component-reporter,Label_good for new contributors,Label_help wanted,Label_meta,Label_meta-ready,Label_status-declined,Label_status-stalled,Label_type-enhancement,Label_type-problem,Label_type-support
11,Remove `init` function from a global namespace,"QUnit puts a lot of functions to the global namespace. Most of them (ok, equal, module, is) are OK. But init really bugs me. Can we remove it from the global namespace?",NV,CONTRIBUTOR,2010-02-13T22:00:22Z,2010-07-26T17:09:45Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,"""raises"" assertion","It would be useful for QUnit to provide an assertion to test for the occurrence of exceptions.
original ticket
patch",FND,NONE,2010-02-25T10:10:45Z,2010-07-26T17:44:12Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,An element's child nodes will be gone under certain circumstances in IE (at least 7 & 8),"Consider a test page with a main section as follows:
<div id=""main"">
    <ul>
        <li>yadda</li>
    </ul>
</div>

And a test script as follows:
jQuery(function($) {
    var $elem = $('#main > ul');
    console.log($elem.children().length);
    module('blub');
    test('yadda', function() {
        console.log($elem.children().length);
});
});

One would expect that this prints two times 1 to the console, which it does in Firefox and Chrome. In Internet Explorer (I've tested 7 & 8) it will print 1 and then 0 though, indicating that the element has somehow been emptied somewhere during starting up test yadda. If I reinforce $elem by putting $elem = $('#main > ul'); in a module setup function, the problem miraculously disappears.",timmolendijk,NONE,2010-03-11T23:54:30Z,2010-07-18T18:39:22Z,True,3.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,misuse of stop()/start() breaks test independence,"Accidentally calling start() twice in an asynchronous test can cause the subsequent test to fail nondeterministically. In the code sample below, the first test will always succeed, but the second will sometimes fail because the expected assertion was not run. Obviously, the short answer is that I shouldn't call start() twice, but the fact that one test can break another is still unpleasant. Would it be possible to limit the scope of start() and stop() so they don't leak from one test to another?

asyncTest(""Test1"", function() {
    expect(2);
    setTimeout(function() {
        ok(true, 'Test1 assertion 1');
        start();
    }, 10);
    setTimeout(function() {
        ok(true, 'Test1 assertion 2');
        start();
    }, 10);
});
asyncTest(""Test2"", function() {
expect(1);
setTimeout(function() {
ok(true, 'Test2 assertion');
start();
}, 10);
});",csosborn,NONE,2010-03-21T00:20:24Z,2010-07-19T16:12:27Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,dog-fooding qunit,"I would like for all the private functions to be made public (ex. done(), validTest(), process(), etc.). This would make it an easier chore to start using jquery to unit test the display portion of qunit. Right now the code mixes presentation with testing-logic.",gutzofter,NONE,2010-03-23T04:36:42Z,2010-07-27T00:32:52Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,start configuration,when the page initially displays it has the 'Hide passed tests' check-box unchecked. It would be more in-line with TDD to have it checked initially. How the hell did this get closed.,gutzofter,NONE,2010-03-23T04:40:20Z,2010-03-23T04:40:48Z,True,0.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,qunit.js raises 1 JS error and 2 JS warnings in Eclipse,"Hello,
Ity is a minot thing but today I found that:
COMPLAINS THAT ""Syntax Error on token Undefined""
    parsers:{
        window: '[Window]',
        document: '[Document]',
        error:'[ERROR]', //when no parser is found, shouldn't happen
        unknown: '[Unknown]',
        'null':'null',
        undefined:'undefined',                                 COMPLAINS THAT ""Syntax Error on token Undefined""
        'function':function( fn ) {

Also warnging for missing "";"" at:
number:literal,
'boolean':literal
},
DOMAttrs:{//attributes to dump from nodes, name=>realName
id:'id',
name:'name',
'class':'className'
},
HTML:false,//if true, entities are escaped ( <, >, \t, space and \n )
indentChar:'   ',//indentation unit
multiline:false //if true, items in a collection, are separated by a \n, else just a space.
};
Also
""// Load paramaters"" should be ""//Load parameters""
""    * Prefered to ok( actual == expected, message )"" should be
""    * Preffered to ok( actual == expected, message )""",gaddlord,NONE,2010-05-17T09:08:36Z,2010-07-27T00:33:46Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,"add ""notequals"" assertion",It would be nice if we could test for inequality.,gminuses,NONE,2010-05-19T03:51:42Z,2010-05-19T07:29:32Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,QUnit.reset() removes global jQuery ajax event handlers,"While testing my global ajax event support library, found the following problem.
Global jQuery ajax event handlers will be ""unbound"" after the firs test() has completed.
I do something like this in my library:
jQuery(document).ajaxStart(function() { /* do something */ })
This seems to be the cause of the problem in qunit.js reset() :
jQuery.event.global = {};",salomvary,NONE,2010-06-01T08:28:50Z,2010-07-27T09:29:58Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Async setup and teardown,"Guys,
I've had to run some async code on my setup and teardown methods but QUnit wasn't handling it properly.
Here's a simple patch to make it run and the corresponding test cases:
http://github.com/fgrehm/qunit/compare/2dbf6037778266fa01a1...master",fgrehm,CONTRIBUTOR,2010-06-14T17:15:46Z,2010-07-15T16:07:23Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,not*Equal should show both args in success case (and possibly one in fail case),"E.g. strictEqual gives both args, if the comparison fails. But f there is a notStrictEqual comparison, it would be interesting to know both arg vals in the success case, since they differ then (in opposite to strictEqual). In the fail case one arg would be sufficient for nonStrictEqual (similar to strictEqual in the success case): but then there are two same values...
In this sense the not*Equal comparison variants are complement to their opposite - without 'not' at the beginning - ones.",hartrock,NONE,2010-07-14T23:18:29Z,2010-07-15T22:48:09Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Output long expected/actual values with fixed-width font and next to each other,"A full diff library would be overkill, but the current output could be improved to make it more readable and easier to see differences.",jzaefferer,MEMBER,2010-07-19T16:10:18Z,2010-07-20T04:03:14Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Double-clicking test title shows all tests for a given module (change seems in rev 138),"I think this is a regression error, as before double clicking a test title would only display that test (provided the title string was unique). Now double clicking on a test title shows all the tests for that module.
Reduced test case here (http://dl.dropbox.com/u/232025/reduction.html), drop in to qunit src directory.
Thanks Jörn!",andybeeching,NONE,2010-07-20T09:40:18Z,2010-07-26T17:51:01Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,BlackBerry 5.0 and stop(),"In unit testing jQuery hashchange event in BlackBerry 4.6.1 and 5.0, I found that the tests would only run all the way through in 5.0 if I called QUnit.stop() explicitly instead of just stop().
I only mention this in case jQuery mobile will be tested in BlackBerry 5.0 with QUnit. See the commit if you're curious.",cowboy,NONE,2010-07-20T19:45:39Z,2010-07-29T07:24:59Z,True,4.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Output is broken,http://elv1s.ru/x/qunit/equals.html,NV,CONTRIBUTOR,2010-07-21T21:44:48Z,2010-07-22T12:17:10Z,True,2.0,,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,optimize css selectors,"definitely something minor but the css selectors can be made more efficient and readable
ol#qunit-tests li li.fail span.test-actual =
#qunit-tests .fail .test-actual",leeoniya,CONTRIBUTOR,2010-07-22T15:05:23Z,2010-07-29T13:24:09Z,True,3.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Array equality fails,"The following assertion fails, and shouldn't.  :)
equals([""a""], [""a""], ""arrayfail"");

Here's a complete HTML file in case that makes it easier:
<html>
<head>
  <script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js""></script>
  <link rel=""stylesheet"" href=""qunit.css"" type=""text/css"" media=""screen"" />
  <script type=""text/javascript"" src=""qunit.js""></script>
</head>
<body>
    <h1 id=""qunit-header"">Repro</h1>
    <h2 id=""qunit-banner""></h2>
    <h2 id=""qunit-userAgent""></h2>
    <ol id=""qunit-tests""></ol>
<script>
    $(document).ready(function(){
        test(""array equality"", function() {
            expect(1);
            equals([""a""], [""a""], ""a=a"");
        });
    });
    </script>

</body>
</html>",rdw,NONE,2010-08-08T09:58:21Z,2010-08-09T00:29:05Z,True,3.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Output location in addition to useragent for rerunning tests,"It would be handy to get the URL into the markup when looking at results in TestSwarm, which are just static html. In order to interact with the results, I'd want to rerun the test in that browser, and would want to have the URL that TestSwarm used.",jzaefferer,MEMBER,2010-08-25T16:38:26Z,2010-08-29T18:04:48Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Docs page failing,"See
http://img529.imageshack.us/img529/5835/picture6rk.png",fernandezpablo85,NONE,2010-08-25T20:30:50Z,2010-08-26T09:14:50Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Output exception stacktrace,"Currently exceptions will get logged to the console, if available, making the stacktrace browsable (at least in Firebug). When browsing scraped test results or no console is available, that isn't available, so a static output would be useful.",jzaefferer,MEMBER,2010-08-27T18:32:32Z,2010-11-03T15:17:12Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,"QUnit.log outputs HTML, but it shouldn't","QUnit.log = function(a, msg){
  console.log(msg)
}

test(""some test"", function(){
  equals(1, 2);
});
Console:
<span class=""test-message"">undefined</span>, expected: <span class=""test-expected"">2</span> result: <span class=""test-actual"">1</span>, diff: <del>2 </del><ins>1 </ins>
I'm using qunit-tap and it outputs HTML into terminal.",NV,CONTRIBUTOR,2010-09-01T13:12:15Z,2010-11-03T15:46:39Z,True,3.0,,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,QUnit.moduleDone logs bogus module at start,"If module() is used from the beginning, there is one bogus log entry with that name of the last module and stats all at zero. If module() isn't used before the first test, those tests get grouped into a log entry, again with the name of the last module().
The issue lies in the fact that test() accesses config.currentModule for determining whether to run the current test or not. Therefore module() has to assign config.currentModule twice: Once before and once within the synchronizer. The check within the synchronized-module() code wrongly assumes that config.currentModule is undefined for the first module().",jzaefferer,MEMBER,2010-09-03T11:00:27Z,2010-11-03T16:13:10Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Document all assertions,"deepEqual, notEqual etc. aren't documented  - see http://docs.jquery.com/QUnit",jzaefferer,MEMBER,2010-09-06T18:42:36Z,2010-11-12T14:41:20Z,True,1.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
39,Custom matchers,"Would be great to define custom matchers like this:
QUnit.sameOwnProperties = function(actual, expected, message) {
  QUnit._push(myCompare(actual, expected), actual, expected, message);
}

To do that we have to move push function from the closure into QUnit._push (or QUnit.push, whatever).",NV,CONTRIBUTOR,2010-09-13T18:56:59Z,2010-11-03T14:51:43Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Commenting inside tests,"Hi,
It would be nice, if there was some function to create comments inside the test, e.g.:
module('User List');
test('single user', function () {
    info('Creating new User'); // <-- new function here
    var user = new User('Chris');
    equals(typeof user, 'object', 'new User has been created');
    equals(user.name, 'Chris', 'User name is correct');

    info('Hovering User'); // <-- new function here
    // etc.
});

It is sometimes useful to make a comment about what is happening before specific assertion. It also makes it quicker to find possible mistake. I know that one can use:
ok(true, 'Creating new User');
But disadvantage of the above approach is, that these type of comments are mixed with informations from assertions and harder to find,  the comments are also counted to passed tests and have to be included in value passed to the 'expect()' function.
I made it working in quick and very dirty way in my copy of QUnit, but it would be nice, if this function was included to the main copy.
I'm, personally, using following style to distinguish those comments:
#qunit-tests li li.info {
    color: blue;
    background-color: #fff;
    border-left: 13px solid blue;
}

Best regards,
ChrisRaven",ChrisRaven,NONE,2010-09-29T20:29:35Z,2010-11-03T14:39:46Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,"""too much recursion"" problem","Hi,
When I have following objects and test, I get ""too much recursion"" error in FF (probably in other browsers too):
function ElemList() {
    this.elements = {};
    this.selected = null;
}

ElemList.prototype.addElement(data) {
    var
        element = new Element(data, this);

    this.elements[data.id] = element;
};

ElemList.prototype.selectElement(id) {
    this.selected = this.elements[id];
};

function Element(data, parent) {
    this.data = data;
    this.parent = parent;
}

test('selection', function () {
    var
        elemList = new ElemList();

    elemList.addElement({id:'id1'});
    elemList.selectElement('id1');
    same(elemList.selected, elemList.elements['id1'], 'Selected correctly');
});

The problem is of course, that ""element.parent"" indicates ""elemList"", and ""elemList.topics"" includes pointer to ""element"", and in this point the circular reference starts. But in program it is perfectly valid (it works in production code), error only appears during testing. The problem is, because the 'same()' function makes deep comparison and follows all pointers, which is a problem in the above example. Maybe adding some mechanism to detect this kind of code would be useful.
Best regards,
ChrisRaven",ChrisRaven,NONE,2010-10-01T15:12:38Z,2010-10-01T23:00:01Z,True,3.0,,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Make reset work without jQuery,"Currently the reset implementation relies on jQuery's html-method. As reset does nothing without jQuery being present, all the qunit-fixture stuff is pretty useless.",jzaefferer,MEMBER,2010-10-31T15:55:56Z,2010-11-01T11:58:58Z,True,4.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Outdated Documentation,Unfortunately the example at http://docs.jquery.com/QUnit#source is out of date. You simply have to update the body according to https://github.com/jquery/qunit/blob/master/test/index.html to make the example working. I would have updated the page if it were a wiki...,mpfau,NONE,2010-11-03T18:21:47Z,2010-11-04T18:04:58Z,True,3.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Uncaught TypeError: Cannot read property 'checked' of null,"A recent commit seems to result in a type error:
Uncaught TypeError: Cannot read property 'checked' of null (line 676)
As a result, tests are not run, but 'stuck' on the first test() call. This is happening in all the browsers I tried (IE8, FF3, Chrome, etc).
To repro:
1 goto http://docs.jquery.com/Qunit
2 note the first test in the QUnit example is halted at 'Running a basic test example'.
It looks like this is related to #45, because the adding the toolbar element to the html template resolved the error in my unit tests. e.g.",twalker,NONE,2010-11-04T01:29:34Z,2010-11-04T09:32:22Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,"Persist ""Hide passed tests"" checkbox state across test runs","Figure out a way to make the setting persistent, similar to the Eclipse JUnit runner. When enabled, you don't see successful tests at all. Summary is enough to ensure that tests were ran at all.",jzaefferer,MEMBER,2010-11-04T09:36:41Z,2011-01-12T20:23:32Z,True,3.0,,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
48,"Drop ""Hide missing tests"" toolbar feature","Was built for jQuery UI, where it isn't used anyway. Too much overhead for very little to no value.",jzaefferer,MEMBER,2010-11-04T09:38:30Z,2010-11-27T16:12:03Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
49,Test reordering for faster results,"After a testrun with failing tests, the next run could provide useful results faster by running the failed tests first. Within the two categories, failed and passed, tests could be ordered by runtime, running tests that take less time first.
Need to figure something out to gather the necessary stats and persist them. Idea: Hidden input/textarea, filled with joined-array of testname|pass/fail|runtime, eg. ""jsDump.parse|pass|12"". Read that before running tests again, eg. in QUnit.init().
Non-browser runtimes would require a different storage, so the persistance should be abstracted.",jzaefferer,MEMBER,2010-11-04T09:43:28Z,2010-12-05T11:38:16Z,True,2.0,,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
51,Update API docs,"equals => equal, same => deepEqual",jzaefferer,MEMBER,2010-11-04T14:23:21Z,2010-11-12T14:43:28Z,True,1.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
52,expect() broken,"The expect() code runs too late now, see http://forum.jquery.com/topic/latest-version-no-longer-fails-on-mismatched-expected#14737000001570197",jzaefferer,MEMBER,2010-11-05T09:29:40Z,2010-11-05T10:51:42Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,"QUnit.done gets called too often, at least outside the browser",Must be called only at the end of running the suite.,jzaefferer,MEMBER,2010-11-08T09:23:38Z,2010-11-27T15:09:42Z,True,2.0,,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Example for mocking,"Provide an example for mocking with QUnit, eg. via mockjax",jzaefferer,MEMBER,2010-11-09T14:44:56Z,2011-08-05T12:02:48Z,True,0.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55,Example of simulate plugin with QUnit,Maybe even bundle simulate with QUnit - at least make it a proper plugin with a release and docs.,jzaefferer,MEMBER,2010-11-09T14:45:55Z,2011-08-05T12:03:32Z,True,1.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56,Running on serverside,"Currently QUnit still has various calls to window.setTimeout/Interval, those need to be removed/replaced/checked.
One of them may be a bit harder to get rid of:
js: ""../qunit/qunit.js"", line 1021: Java class ""[B"" has no public instance field or method named ""setInterval"".
    at ../qunit/qunit.js:1021
    at ../qunit/qunit.js:1002
    at ../qunit/qunit.js:1085
    at ../qunit/qunit.js:1085
    at ../qunit/qunit.js:1085
    at ../qunit/qunit.js:110
    at ../qunit/qunit.js:712 (process)
    at ../qunit/qunit.js:304
    at suite.js:84",jzaefferer,MEMBER,2010-11-16T21:01:38Z,2012-02-15T16:55:18Z,True,13.0,,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
57,Provide Getting Started example,"Source of the current example contains document-ready code, thats misleading. Should provide an example of the minimal necessary markup.",jzaefferer,MEMBER,2010-11-17T15:59:44Z,2012-05-04T09:59:55Z,True,1.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
58,Add a README file,,fernandezpablo85,NONE,2010-11-25T18:42:41Z,2010-11-27T15:45:15Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,Output filename:linenumber for failed assertions,"Seeing where an assertion is defined can be very useful. Maybe generate a stacktrace via trow new Error, catch that immeditely and inspect it.",jzaefferer,MEMBER,2010-11-27T16:14:31Z,2010-11-28T12:44:35Z,True,3.0,,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
61,Update license header,"2010/11, MIT or GPL",jzaefferer,MEMBER,2010-12-04T15:57:51Z,2011-01-04T08:36:33Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Test for sessionStorage fails in Firefox 4 when DOM storage is disabled,"Use test from Modernizr, it'll work.",jzaefferer,MEMBER,2010-12-07T21:49:44Z,2010-12-07T21:52:04Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,Failing asynchronous test runs out of the source order,"This is regarding commit f32d1c9. I've also commented it, but I'm not sure the comments are seen so I'm describing the problem here too.
I can't understand what is the reasoning behind storing the fact that a test failed. Is that documented somewhere?
Now I'm facing a pretty confusing situation when the second of 4 asynchronous tests [constantly] fails. It runs first event if it is the second in the source code, and that's why it fails. Taking a peek into the code I found this commit and setting defined.sessionStorage = false (at line 15 in qunit.js) fixes my problem, but it does not feel right...
Am I missing something besides ""every test should not depend on the other tests"" and ""order of tests should not matter""?",gurdiga,NONE,2010-12-09T14:57:47Z,2010-12-27T13:12:19Z,True,1.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,Extend raises with optional second argument,See http://nodejs.org/docs/v0.3.2/api/assert.html#assert.throws for usecases.,jzaefferer,MEMBER,2010-12-21T10:07:05Z,2010-12-27T13:11:13Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,qunit crashes IE 5.5 and IE 6,"By using IE Tester I've noticed that, after updating to the newest qunit, my unit tests crashes IE 5.5 and IE 6.0. I've haven't been able to pin point where exactly as these browsers simply crash without any error message.
Please confirm.",dotnetCarpenter,NONE,2010-12-29T14:26:16Z,2011-09-16T16:43:16Z,True,7.0,,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
72,Option to run QUnit without try/catch,"IE (and others, to varying extents) lose the original exception if it is wrapped in a try/catch instead of being allowed to fall all the way out. A separate code path is needed in Test.prototype.run to allow this to happen. Obviously, the unit tests will fail completely when this happens, but at least it will allow easier access to the actual error causing the trouble; right now, one needs to comment out the entire try & catch block in order to get access to it.",csnover,NONE,2011-01-02T02:09:52Z,2011-01-12T20:30:59Z,True,5.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Mechanism to dispatch native browser events,"It would be nice if QUnit had a mechanism that would allow for easy dispatching of native browser events on elements instead of needing to reinvent the wheel for every test suite that needs to test events. Right now, for instance, the vast majority of jQuery unit tests are only testing the jQuery event system and don’t actually ever confirm that native browser events will work the same way.",csnover,NONE,2011-01-02T18:23:53Z,2012-09-29T13:55:44Z,True,9.0,,5.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
74,Test run out-of-order,"I don't know if test order is supposed to be significant, but since I don't see it documented either way, I've been assuming that tests should run in the order in which they are defined.
I've noticed that sometimes, when an assertion fails, tests run out-of-order.
Always successful:
http://jsfiddle.net/cowboy/KWMjJ/1/
Intermittent failure (click ""Run"" multiple times):
http://jsfiddle.net/cowboy/KWMjJ/2/ (test 2, # expect error)
http://jsfiddle.net/cowboy/KWMjJ/3/ (test 3, failing test)
I've observed this behavior in Firefox 4 and Chrome.",cowboy,NONE,2011-01-03T13:03:44Z,2011-03-03T07:17:02Z,True,12.0,,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,Synchronize stop/start calls,"If stop() is called multiple times, delay start until equal amount of callsto start(). Makes synchronizing multiple async blocks trivial.",jzaefferer,MEMBER,2011-01-04T08:33:45Z,2011-01-04T16:36:33Z,True,2.0,,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,Use testName instead of test for calls to fail(),Useless to have html markup in console output.,jzaefferer,MEMBER,2011-01-06T10:33:00Z,2011-01-12T20:05:23Z,True,1.0,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Document ?notrycatch,See #72,jzaefferer,MEMBER,2011-01-12T20:31:53Z,2011-09-19T07:30:11Z,True,2.0,,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
