issue_id,title,contents,authorLogin,authorAssociation,createdAt,closed,closedAt,closedDuration_days,milestone,participants_count,comments_count,firstCommentCreatedAt,firstCommentDuration_days,firstCommentAuthor,firstCommentAuthorAssociation,num_unique_comment_author_MEMBER,num_unique_comment_author_CONTRIBUTOR,num_unique_comment_author_COLLABORATOR,num_unique_comment_author_NONE,labels,label_waiting,label_feature request,label_has pr,label_Protractor,label_Karma,label_npm,label_React,label_docs,label_has Tracker story,label_ready for work,label_duplicate,label_bug,label_1.3.x,label_gem,label_help needed
12,jasmine-gem: don't load json/pure,"I've added Jasmine gem to my app recently; I'm also using Resque. The problem is, Resque requires plain json, and Jasmine requires json_pure. So I've got two JSONs now in my project, which causes several warning messages and some failing tests...
Second problem is that even if I remove Resque, json_pure is still loaded twice, because ActiveSupport loads it once as require 'json' and then Jasmine loads it again as require 'json/pure'.
The solution to the second problem is to change require 'json/pure' to require 'json' in Jasmine. The json_pure gem will still be loaded because it will be in the Gemfile, but it won't be loaded twice.
A better, long term solution would be to switch to the multi_json gem in code and in gemspec (http://github.com/intridea/multi_json). If both Jasmine and Resque used that, I could choose any json backend I want and it would work with both.",mackuba,NONE,2010-09-01 12:05:40+00:00,True,2010-09-01 21:15:44+00:00,0.38,,2,3,2010-09-01 12:49:43+00:00,0.03,mackuba,NONE,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,jasmine gem doesn't work with rspec 2,"Error: ""no such file to load -- spec""",mackuba,NONE,2010-09-06 12:34:45+00:00,True,2010-09-30 16:48:02+00:00,24.18,,3,2,2010-09-07 00:02:01+00:00,0.48,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Bug on toContains,"You should be able to expect an array-like object (like the return on getElementsByTagName) to contain something. I monkey-patched jasmine to make it work, but its clearly a bug. See here:
http://github.com/fabiomcosta/slick/blob/master/SlickSpec/assets/JSSpecHelpers.js#L39-72
Good job so far! We're using on most of mootool's  projects.",fabiomcosta,CONTRIBUTOR,2010-09-14 00:34:20+00:00,True,2013-05-26 19:09:26+00:00,985.77,,4,3,2010-09-14 01:03:41+00:00,0.02,xian,CONTRIBUTOR,0,2,0,1,['bug'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
16,jasmine-gem: Flexible path to jasmine.yml,"jasmine-gem
It would be great if jasmine.yml could be loaded using a Dir glob string (""**/jasmine.yml"") from the project root or from an environment variable (as mentioned by Rajan in the google group) so that any folder structure is supported.",,NONE,2010-09-14 18:25:58+00:00,True,2010-10-13 21:06:47+00:00,29.11,,0,1,2010-10-13 21:06:47+00:00,29.11,,NONE,0,0,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,this pointer is reset to window,"var TestObject = {
methodA: function() {},

methodB: function() {  this.methodA();  }
};
....
describe('....', function() {
var A = TestObject.A,B = TestObject.B;

it('....', function() {
    B();
});

});
will throw error in 'methodB: function() {  this.methodA();  }', because ""this"" is pointed to window!
looking forward to fix it quickly! thx!",lifesinger,NONE,2010-09-25 06:23:01+00:00,True,2010-09-26 08:21:02+00:00,1.08,,2,3,2010-09-25 21:07:58+00:00,0.61,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,this pointer is wrong,"Reopen for the accident closed #issue17
I have created a test page:
http://lifesinger.github.com/lab/2010/jasmine-issue17-test.html
Jasmine reports error:
TypeError: Object [object DOMWindow] has no method 'methodA'
If I change line25 to:
expect(TestObject.methodB()).toBe('a');
All will be ok.
But in my actual test code, I want to define methodB = TestObject.methodB to save some typing.
I expect jasmine don't change ""this"" to window, it's annoying:(
Waiting for you answer ^o^",lifesinger,NONE,2010-09-30 01:18:35+00:00,True,2010-10-01 07:16:42+00:00,1.25,,2,2,2010-10-01 00:16:42+00:00,0.96,,NONE,0,0,0,2,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Strange error output,"Test:
it(""should report a strange error"", function(){
spyOn(TestMe, 'saySomething');
TestMe.saySomething('a string', {goodbye: 'world'});
expect(TestMe.saySomething).toHaveBeenCalledWith('a string', {hello: 'world'});
});
Supporting class (using jQuery):
(function($) {
TestMe = {};
TestMe.saySomething = function(aString, aHash) {
alert(aString);
};
}(jQuery));
When I run the test I get the following output:
Expected spy to have been called with [ 'a string', { hello : 'world' } ] but was called with [ [ 'a string', { goodbye : 'world' } ] ]
I would expect the failure and it is easy to see why this test fails when you have a short string of failure text...what I wouldn't expect was the ""[["" ""]]"" around the stuff that the method was actually called with.
If you have a big error message then you get caught up on the [[ ]] and lose sight that you are calling the method with the wrong arguments.
Is there a reason that when you mess up a toHaveBeenCalledWith() expectation you get the [[ ]] instead of [ ]?",mikegehard,NONE,2010-10-01 21:02:58+00:00,True,2011-06-19 03:36:40+00:00,260.27,,3,1,2010-10-01 21:32:05+00:00,0.02,,NONE,0,0,0,1,['bug'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21,Builtin support node.js,"The project you mention on the docs site is very outdated. I published a fork with a simple example, but it would be nice to have it out of the box, and supported on the latest version.",danielribeiro,NONE,2010-10-04 00:36:04+00:00,True,2011-01-28 05:55:51+00:00,116.22,,2,1,2011-01-28 05:55:48+00:00,116.22,infews,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,combine jasmine-gem into this repository,"When I first started checking out Jasmine, I grabbed the repo, and was delayed a bit when I noticed that I didn't have the gem included.  How about combining the two, just carefully leaving files that don't belong in the gem out of the gemspec? This repo already includes things that aren't part of the core, like the javascript documentation.
If part of it is that you plan to have support for other server-side languages in the future, I think having ruby at the root would still be the way to go. That way, if a python implementation got added, a rake task for running the python tasks (including tests) could be added. That way, someone who wanted to maintain consistency among the alternate implementations could easily run tests on both, and someone who's just into python could cd to that directory and build the egg. (Using this scheme, a python implementation of the server-side component could be in a separate repo using submodules, or not. Pythonistas would have to check out jasmine with the submodules to get the javascript code and documentation, and the Python build files would include references to code in the outer repo. For example, if the gem were in python/, it would copy ../src/*.js into its build directory. It would also tell users to get the outer gem if it didn't find it in the parent directory.)
Finally, something that could be done right away to make things easier: add a homepage on github to jasmine-gem (currently it's empty), so people browsing to it can go straight to the page about jasmine, without scrolling down:
http://github.com/pivotal/jasmine-gem",benatkin,NONE,2010-10-05 20:29:07+00:00,True,2011-01-26 19:43:06+00:00,112.97,,4,6,2010-10-05 22:03:51+00:00,0.07,jfirebaugh,NONE,0,1,0,3,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,right: 100% on #jasmine_content hiding doesn't work for common layout choices,"Particularly, but not exclusively in IE7 with 100% width with floats.  Just using right: 200% seems to take care of some of that.",knzconnor,NONE,2010-10-15 18:28:56+00:00,True,2011-01-27 04:40:06+00:00,103.42,,2,2,2011-01-26 20:40:06+00:00,103.09,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,support multiple config file,"we should be able to support different config file when initializing
Jasmine::Config.new
perhaps something like
rake jasmine CONFIG=different_config_file_rather_than_jasmine.yml
This will be very useful to test a subset of js files without having to load all the javascript files all the time.",trungpham,NONE,2010-11-02 22:13:21+00:00,True,2011-06-19 03:34:35+00:00,228.22,,2,2,2011-06-19 03:34:35+00:00,228.22,infews,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,rake jasmine:ci not exiting with proper exit code,it is exiting with 0 code on failures also. which is making the CI server function incorrectly.,arusarka,NONE,2010-11-10 06:03:07+00:00,True,2010-11-10 14:42:40+00:00,0.36,,3,3,2010-11-10 06:42:40+00:00,0.03,infews,CONTRIBUTOR,0,1,0,2,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Request: JsApiReporter: Add execution time elapsed,"The TrivialReporter displays the total execution time following the test run, but so far as I can discern, this info isn't available from the JsApiReporter. It'd be great to have this for users of the jasmine-maven-plugin, who are now seeing Jasmine test reports gathered by their CI environments; this information would enable them to track execution time of Jasmine specs over time.",searls,NONE,2010-11-18 21:56:14+00:00,True,2013-05-26 19:11:35+00:00,919.89,,2,1,2013-03-06 05:31:21+00:00,838.32,infews,CONTRIBUTOR,0,1,0,0,['feature request'],False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,"Private repo URL for submodule ""pages""","Is there a reason the ""pages"" subproject uses a private repo URL?  Makes it a pain to build pages when using jasmine as a submodule.",kflorence,NONE,2010-11-20 02:07:31+00:00,True,2011-01-28 13:51:36+00:00,69.49,,2,4,2010-11-20 15:42:34+00:00,0.57,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Ability to spy on functions multiple times.,"Right now, Jasmine does not allow me to set up multiple spies on the same function.  For instance, given some constructor:
NavNet.Controller.LoginController = function LoginController (navNet) {
   this.loginService = navNet.getService(""loginService"");    
   this.storageService = navNet.getService(""storageService"");
};

My spy setup would looks something like this:
...

beforeEach(function() {
        framework = new NavNet();
        loginService = new NavNet.Services.LoginService();
        storageService = new NavNet.Services.StorageService();

        spyOn(framework, ""getService"").andReturn(loginService);
        spyOn(framework, ""getService"").andReturn(storageService);

        sut = new NavNet.Controllers.LoginController(framework);
    });

...

Maybe not the best example, as I actually inject the services I need, but it illustrates a point: the second spy on ""getService"" will fail as Jasmine will complain that ""getService"" is already being spied on. Fair enough. It would be nice if I was able to set up spies on multiple function calls, differentiated by parameters.  Maybe something like:
spyOn(framework, ""getService"").with(""loginService"").andReturn(loginService);

Unless, of course, there is a way I am unaware of that will accomplish this >8)",Ireney,NONE,2010-11-23 01:41:26+00:00,True,2010-11-23 21:16:39+00:00,0.82,,5,6,2010-11-23 01:48:39+00:00,0.01,infews,CONTRIBUTOR,1,2,0,2,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,"Test window jumps when I hit ""command""","I'm running Jasmine 1.0.1.1 in Chrome 8.0.552.215 on OSX.
Every time I hit the ""command"" key when the Jasmine tab has focus (e.g. in order to command-tab out of the window) the view pops out of the browser to the top-left of my screen, then returns.",jamesarosen,NONE,2010-12-03 22:48:18+00:00,True,2011-06-19 03:36:01+00:00,197.2,,2,2,2011-06-19 03:36:01+00:00,197.2,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,toHaveBeenCalledWith fails with multiple arguments,"First attempt:
spyOn(Foo, 'bar');
Foo.bar('baz', 'qux');
expect(Foo.bar).toHaveBeenCalledWith('baz', 'qux');

Expected spy to have been called with [ [ 'baz', 'qux' ] ] but was called with [ 'baz', 'qux' ].
Second attempt:
spyOn(Foo, 'bar');
Foo.bar('baz', 'qux');
expect(Foo.bar).toHaveBeenCalledWith(['baz', 'qux']);

Expected spy to have been called with [ [ 'baz', 'qux' ] ] but was called with [ [ 'baz', 'qux' ] ].
I believe the problem is that Jasmine is using a simple == or === comparison, rather than comparing the elements of arguments individually.",jamesarosen,NONE,2010-12-14 23:48:12+00:00,True,2010-12-14 23:56:39+00:00,0.01,,2,4,2010-12-14 23:50:35+00:00,0.0,jamesarosen,NONE,0,0,0,2,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Blank page after running tests.,"Visiting the test page for a running Jasmine server displays test results briefly (for about half a second), then the entire page goes blank.",,NONE,2010-12-15 01:20:24+00:00,True,2010-12-15 12:34:34+00:00,0.47,,3,2,2010-12-15 04:34:34+00:00,0.13,infews,CONTRIBUTOR,0,2,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Add instance mocks,"I'd like to be able to mock out an object created via new. Perhaps something like
mockClass('Image');
var i = new Image();
i.src = '/some_url';
expect(Image.lastInstance().src).toEqual(""/some_url"");

or maybe
mockClass(Vehicle, 'Car');
var c = new Vehicle.Car();
c.start();
expect(Vehicle.Car.anyInstance().start).toHaveBeenCalled();

I might also imagine being able to access the original definition of the ""class"" (function) via StubbedFunction.originalDefinition.",jamesarosen,NONE,2010-12-15 21:06:05+00:00,True,2011-01-28 05:42:12+00:00,43.36,,2,1,2011-01-28 05:42:12+00:00,43.36,infews,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,global spyOn does not accept / honor ignoreMethodDoesntExist,"jasmine.Spec.prototype.spyOn accepts three parameters: obj, methodName, ignoreMethodDoesntExist
global spyOn function only accepts two parameters: obj, methodName
So if one wishes to spy on a non-existent method, one may not use the global spyOn method but must instead grab and directly call jasmine.getEnv().currentSpec.spyOn",bloveridge,NONE,2010-12-28 17:41:23+00:00,True,2011-01-28 05:59:47+00:00,30.51,,2,2,2011-01-28 05:59:03+00:00,30.51,infews,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,toHaveBeenCalledWith does not succeed on correct response (or error is incorrect),"Test:
echo.events.trigger(""NAME_REPLY"", {command: ""NAME_REPLY"", args: [""wr:1"",
  {""1"":{""user_id"":""1"",""mode"":{""v"":1},""attendee_id"":""67""},
   ""2"":{""user_id"":""29"",""mode"":{""v"":1},""attendee_id"":""1""}}
  ]});

expect(aRoom.listUI.add).toHaveBeenCalledWith([""1""], [""29""]);

Output:
Failed: A Room Controller loads users and their states on NAME_REPLY.
Expected spy to have been called with [ [ '1' ], [ '29' ] ] but was called with [ [ '1' ], [ '29' ] ]
in http://127.0.0.1:53446/jasmine/jasmine.js:94",plukevdh,CONTRIBUTOR,2011-01-19 16:58:18+00:00,True,2013-10-02 00:41:12+00:00,986.32,1.2,7,12,2011-01-19 17:07:54+00:00,0.01,ragaskar,CONTRIBUTOR,1,2,0,3,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,"jasmine init ""sinatra app""","hugo@hugo-desktop:~/bakedchat$ jasmine init
/usr/local/lib/site_ruby/1.8/rubygems/custom_require.rb:31:in gem_original_require': no such file to load -- padrino-core/cli/rake (LoadError) from /usr/local/lib/site_ruby/1.8/rubygems/custom_require.rb:31:inrequire'
from /home/hugo/bakedchat/Rakefile:4
from /home/hugo/.rvm/gems/ree-1.8.7-2010.02@chat/gems/jasmine-1.0.1.1/lib/jasmine/command_line_tool.rb:48:in load' from /home/hugo/.rvm/gems/ree-1.8.7-2010.02@chat/gems/jasmine-1.0.1.1/lib/jasmine/command_line_tool.rb:48:inprocess'
from /home/hugo/.rvm/gems/ree-1.8.7-2010.02@chat/gems/jasmine-1.0.1.1/bin/jasmine:6
from /home/hugo/.rvm/gems/ree-1.8.7-2010.02@chat/bin/jasmine:19:in `load'
from /home/hugo/.rvm/gems/ree-1.8.7-2010.02@chat/bin/jasmine:19",hugoerg56,NONE,2011-01-29 04:39:59+00:00,True,2011-01-29 07:03:19+00:00,0.1,,2,1,2011-01-29 07:03:19+00:00,0.1,infews,CONTRIBUTOR,0,1,0,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,afterEach is called twice before an async test is run,"An example can be found in the JustKidding project. I will try to reduce the issue to a smaller test case, but for now,

clone git://github.com/jamesarosen/JustKidding.git
check out e5f894168eed8c010ddf286d5d712123a1c6f6d9
run just the group ""when there are more elements...""

Console output has to ""afterEach"" statements first, then a ""beforeEach"" statement, then an ""it"" statement.",jamesarosen,NONE,2011-01-30 17:00:07+00:00,True,2011-06-19 03:26:43+00:00,139.44,,2,3,2011-01-30 17:13:55+00:00,0.01,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Code Coverage,It would be immensely helpful if Jasmine had a way to generate code coverage reports. Is anything like this planned for the future?,pigulla,NONE,2011-01-31 11:02:25+00:00,True,2011-01-31 17:02:26+00:00,0.25,,5,4,2011-01-31 17:02:26+00:00,0.25,infews,CONTRIBUTOR,0,1,0,3,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Generated rake-Tasks should ignore missing Jasmine,"Hi there,
the generated rake task loading the Rake tasks from Jasmine should not throw an exception if it is unable to load jasmine.
In production environments you often have a ""test""-group in your Gemfile, with gems not installed. Though you still want to use rake for Cronjobs and stuff.
You should generate the File like this:
begin
require 'jasmine'
load 'jasmine/tasks/jasmine.rake'
rescue LoadError
puts ""jasmine not found""
end
Best, Tobias",tobsch,NONE,2011-02-01 11:54:37+00:00,True,2011-06-25 19:20:52+00:00,144.31,1.2,4,3,2011-03-03 14:17:26+00:00,30.1,lbadura,NONE,0,2,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Jasmine does not clear scheduledFunctions between mock clock invocations,"Hi guys,
We noticed yesterday that between invocation of jasmine.Clock.useMock(), Jasmine does not reset the list of scheduledFunctions.  This was the cause of some test pollution for us, where things scheduled in previous tests were still running in later tests.
To see the bug, in useMock(), output the list of scheduledFunctions.  You'll see that functions scheduled in previous tests are still pending execution.
We worked around this by adding to our SpecHelper.js:
afterEach(function () {
// Jasmine's mock clock does not remove scheduled functions between specs,
// which allows for test pollution.
jasmine.Clock.defaultFakeTimer.reset();
});
...although the real fix is probably to ensure FakeTimer.reset gets called at each useMock.
Thanks!
Rob",rslifka,NONE,2011-02-04 16:57:39+00:00,True,2011-02-04 21:13:40+00:00,0.18,,3,3,2011-02-04 21:13:40+00:00,0.18,infews,CONTRIBUTOR,0,1,0,1,['bug'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
52,json test fails under 1.9.2,"Running tests under  rvm 1.8.7@jasmine-gem and rvm 1.9.2@jasmine-gem, with a fresh bundle install under each. All tests pass under 1.8.7, but the json_pure test fails under 1.9.2:
Failures:

Jasmine bug fixes require 'json_pure' should not happen until SeleniumDriver is initialized, which is late enough that it won't conflict with Rails
Failure/Error: json_is_defined.chomp.should == ""nil""
expected: ""nil"",
got: """" (using ==)
./spec/bug_fixes_spec.rb:19:in `block (3 levels) in <top (required)>'",claco,NONE,2011-02-06 04:07:31+00:00,True,2011-06-19 16:31:08+00:00,133.52,,3,4,2011-06-19 03:41:10+00:00,132.98,infews,CONTRIBUTOR,0,2,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Reporter resultsForSpecs reports specs as passed even when skipped,"Via the rspec runner in the gem project, it appears that when you run a specific subset set of specs via the ?spec= query string param, even though the page lists ""1 spec run, 0 failed"", the resultsForSpec/s returns all other specs marked as passed, even though they were not run at all.",claco,NONE,2011-02-06 21:39:06+00:00,True,2013-03-06 05:38:07+00:00,758.33,1.2,2,5,2011-06-19 03:45:27+00:00,132.25,infews,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,"""jasmine init"" deleted my code","I had an /app with some javascript code I was starting to cover with jasmine specs.
When I wrote ""jasmine init"" in the project folder, it had deleted /app content.
Is this supposed to do so?",rodrigues,NONE,2011-02-19 17:43:01+00:00,True,2011-02-20 01:46:50+00:00,0.34,,1,1,2011-02-19 17:46:50+00:00,0.0,rodrigues,NONE,0,0,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,"""jasmine init"" deleted my code","I had an /app with some javascript code I was starting to cover with jasmine specs.
When I wrote ""jasmine init"" in the project folder, it had deleted /app content. And it had deleted the .git folder also...
Is this supposed to do so?",rodrigues,NONE,2011-02-19 17:49:23+00:00,True,2011-02-19 17:51:45+00:00,0.0,,1,1,2011-02-19 17:51:45+00:00,0.0,rodrigues,NONE,0,0,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,expect({ f: function(){} }).toEqual({ f: function(){} }) fails and it shouldn't,"Granted, I'm not certain if the function bodies should have to be identical (I could see test cases wanting it to go either way), but in this case they are and that definitely seems incorrect.",paxunix,NONE,2011-02-20 23:28:24+00:00,True,2011-02-21 13:52:11+00:00,0.6,,2,2,2011-02-21 05:52:11+00:00,0.27,ragaskar,CONTRIBUTOR,0,1,0,1,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
